cu_num,M,N,K,kernelId,splitK,us,kernelName,errRatio,tflops,bw
304,1,192,7168,5,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,512,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,896,5120,10,0,8.0754,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,1.14,568.94
304,1,1024,5632,10,0,8.5533,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,1.35,675.16
304,1,1056,1408,9,0,5.8457,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,0.51,254.95
304,1,1280,4096,10,0,7.1564,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,1.47,733.54
304,1,1408,352,0,0,-1.0,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,1,1408,1408,23,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
304,1,1536,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,1792,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,2048,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,2048,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,3072,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,3584,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,4096,640,23,0,4.7217,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,0.0,1.11,557.06
304,1,4096,1024,15,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,4096,3072,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,5120,640,9,0,5.3947,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,1.21,609.43
304,1,5120,2048,10,0,5.982,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,3.51,1754.94
304,1,6144,768,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,6144,1024,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,6144,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,6144,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1,7168,256,75,0,-1.0,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,1,7168,2304,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,192,7168,11,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,512,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,896,5120,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,1024,5632,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,1056,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,1280,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,1408,352,0,0,-1.0,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,2,1408,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,1536,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,1792,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,2048,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,2048,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,3072,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,3584,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,4096,640,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,4096,1024,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,4096,3072,5,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,5120,640,23,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
304,2,5120,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,6144,768,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,6144,1024,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,6144,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,6144,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,2,7168,256,75,0,-1.0,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,2,7168,2304,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,192,7168,11,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,512,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,896,5120,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,1024,5632,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,1056,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,1280,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,1408,352,0,0,-1.0,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,4,1408,1408,23,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
304,4,1536,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,1792,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,2048,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,2048,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,3072,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,3584,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,4096,640,23,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
304,4,4096,1024,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,4096,3072,8,0,-1.0,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,5120,640,23,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
304,4,5120,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,6144,768,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,6144,1024,15,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,6144,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,6144,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,4,7168,256,75,0,-1.0,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,4,7168,2304,15,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,192,7168,11,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,512,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,896,5120,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,1024,5632,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,1056,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,1280,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,1408,352,0,0,-1.0,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,8,1408,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,1536,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,1792,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,2048,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,2048,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,3072,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,3584,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,4096,640,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,4096,1024,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,4096,3072,8,0,-1.0,a8w8_bpreshuffle_128x32x16x512_16x16_16x16_32x4x1_32x4x1_1x32x1x4_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,5120,640,23,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
304,8,5120,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,6144,768,15,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,6144,1024,15,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,6144,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,6144,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,8,7168,256,75,0,-1.0,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,8,7168,2304,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,192,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,512,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,896,5120,10,0,7.7362,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,18.98,607.29
304,16,1024,5632,10,0,8.6607,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,21.31,680.09
304,16,1056,1408,9,0,6.0298,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,7.89,255.92
304,16,1280,4096,10,0,7.0371,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,23.84,760.17
304,16,1408,352,0,0,-1.0,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,16,1408,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,1536,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,1792,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,2048,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,2048,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,3072,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,3584,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,4096,640,23,0,5.0895,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,0.0,16.48,542.83
304,16,4096,1024,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,4096,3072,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,5120,640,9,0,5.4698,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,19.17,630.9
304,16,5120,2048,10,0,6.1466,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,0.0,54.59,1737.93
304,16,6144,768,15,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,6144,1024,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,6144,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,6144,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,16,7168,256,75,0,-1.0,a8w8_bpreshuffle_128x16x256x64_16x16_16x16_4x16x1_4x32x1_1x16x1x8_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,16,7168,2304,108,0,-1.0,a8w8_bpreshuffle_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,192,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,512,7168,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,896,5120,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,1024,5632,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,1056,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,1280,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,1408,352,0,0,-1.0,a8w8_bpreshuffle_256x128x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,24,1408,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,1536,2048,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,1792,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,2048,1536,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,2048,6144,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,3072,4096,10,0,-1.0,a8w8_bpreshuffle_128x16x32x512_16x16_16x16_32x4x1_32x4x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,3584,6144,11,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,24,4096,640,23,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v2,1.0,-1.0,-1.0
